TIME,V(XTOP:B),V(XTOP:XDUT:I_1),V(XTOP:VPWR),V(XTOP:XDUT:I_2),V(XTOP:XDUT:I_0),V(XTOP:X),V(XTOP:A),V(XTOP:XDUT:I_3),I(XTOP:VB_DRIVER),I(XTOP:VA_DRIVER),I(XTOP:CFAKE_LOAD),I(XTOP:VPOWER)
1.00000000e-10,1.80000000e+00,2.39694744e+00,1.80000000e+00,1.41091071e+00,2.64320548e-02,8.07984335e-02,1.80000000e+00,5.22620178e-02,-1.34791898e-04,-1.27530525e-04,2.90657064e-05,7.95582819e-05
1.00122315e-10,1.80000000e+00,2.39642609e+00,1.80000000e+00,1.40593599e+00,2.36387974e-02,8.15384172e-02,1.80000000e+00,5.02311887e-02,-3.00780605e-05,-2.43543234e-05,1.20996158e-05,-2.84407313e-05
1.00244630e-10,1.80000000e+00,2.39610763e+00,1.80000000e+00,1.40122791e+00,2.11262203e-02,8.22206446e-02,1.80000000e+00,4.86216409e-02,-2.27188346e-05,-1.78242132e-05,1.11552321e-05,-3.64141713e-05
1.00489261e-10,1.80000000e+00,2.39551984e+00,1.80000000e+00,1.39204727e+00,1.64739554e-02,8.34619131e-02,1.80000000e+00,4.60123764e-02,-1.76181456e-05,-1.37697211e-05,9.14098990e-06,-3.59249501e-05
1.00978522e-10,1.80000000e+00,2.39439467e+00,1.80000000e+00,1.37490169e+00,9.07042093e-03,8.53548911e-02,1.80000000e+00,4.33438463e-02,-1.29543048e-05,-1.03780154e-05,6.33523465e-06,-3.00019456e-05
1.01957044e-10,1.80000000e+00,2.39224709e+00,1.80000000e+00,1.34462935e+00,-2.97792969e-04,8.76499050e-02,1.80000000e+00,4.23406760e-02,-6.61918247e-06,-5.45789602e-06,3.04631905e-06,-2.50910987e-05
1.03914087e-10,1.80000000e+00,2.38830634e+00,1.80000000e+00,1.29539531e+00,-8.20683779e-03,8.84383022e-02,1.80000000e+00,4.32453342e-02,-3.66239736e-06,-3.76905201e-06,-1.43491449e-06,-1.67916603e-05
1.05871131e-10,1.80000000e+00,2.38472702e+00,1.80000000e+00,1.25773926e+00,-7.87780299e-03,8.58031972e-02,1.80000000e+00,4.28060929e-02,-2.24461344e-06,-3.14541102e-06,-3.95097452e-06,-1.27850430e-05
1.07828175e-10,1.80000000e+00,2.38141570e+00,1.80000000e+00,1.22703028e+00,-6.61476442e-03,8.06735343e-02,1.80000000e+00,4.08632527e-02,-3.14050687e-06,-4.42411400e-06,-6.53353914e-06,-1.10231198e-05
1.11742262e-10,1.80000000e+00,2.37540195e+00,1.80000000e+00,1.17909544e+00,-4.56366932e-03,6.75569869e-02,1.80000000e+00,3.48881417e-02,-2.09474333e-06,-3.62461630e-06,-6.87091098e-06,-7.58506277e-06
1.19570437e-10,1.80000000e+00,2.36523553e+00,1.80000000e+00,1.11552757e+00,-2.26301247e-03,4.27015439e-02,1.80000000e+00,2.24244684e-02,-2.36378882e-06,-3.47367987e-06,-5.82959379e-06,-4.76746866e-06
1.27398612e-10,1.80000000e+00,2.35690366e+00,1.80000000e+00,1.07678107e+00,-1.25323088e-03,2.58251167e-02,1.80000000e+00,1.35709123e-02,-9.34667063e-07,-1.56624384e-06,-2.79383506e-06,-2.72217098e-06
1.35226787e-10,1.80000000e+00,2.34984889e+00,1.80000000e+00,1.05028479e+00,-7.06405126e-04,1.62381420e-02,1.80000000e+00,8.49520040e-03,-1.43392913e-06,-1.73586722e-06,-2.10486732e-06,-2.30820808e-06
1.50883137e-10,1.80000000e+00,2.33821335e+00,1.80000000e+00,1.01465346e+00,-2.52438251e-04,7.45058639e-03,1.80000000e+00,3.83327189e-03,-2.10369715e-07,-2.74599479e-07,-1.40242366e-07,-1.01130977e-06
1.66539486e-10,1.80000000e+00,2.32894209e+00,1.80000000e+00,9.91940049e-01,-8.92320338e-05,4.60157259e-03,1.80000000e+00,2.34941151e-03,-8.84021034e-07,-8.72486582e-07,-5.87644749e-07,-1.08142865e-06
