TIME,V(XTOP:P),V(XTOP:IN),V(XTOP:VPWR),V(XTOP:X),I(XTOP:VIN_DRIVER),I(XTOP:CLOADP),I(XTOP:CLOADX),I(XTOP:VPOWER)
4.65218955e-10,7.09289081e-04,1.80000000e+00,1.80000000e+00,1.79305001e+00,8.84666166e-08,2.50904093e-07,7.07155241e-07,-9.65327807e-07
5.03657167e-10,-8.95008944e-05,1.80000000e+00,1.80000000e+00,1.80081785e+00,-1.06832855e-07,-3.34028666e-07,1.01190629e-07,-1.76266689e-07
5.38251557e-10,1.21664296e-05,1.80000000e+00,1.80000000e+00,1.79989983e+00,1.09171989e-07,3.45784019e-07,-2.07337360e-07,3.23047626e-07
5.72845948e-10,-1.93441561e-06,1.80000000e+00,1.80000000e+00,1.80000553e+00,-1.09587009e-07,-3.47414439e-07,2.19558780e-07,-3.40345565e-07
6.00000000e-10,8.53194847e-07,1.80000000e+00,1.80000000e+00,1.80000088e+00,1.09742057e-07,3.47825076e-07,-2.20243661e-07,3.41176223e-07
6.00864860e-10,-3.08594688e-03,1.76886505e+00,1.80000000e+00,1.79932338e+00,4.69250101e-05,-7.13826728e-06,-1.56672150e-06,-2.04670017e-05
6.01540481e-10,-5.24224783e-03,1.74454268e+00,1.80000000e+00,1.79887520e+00,4.71408575e-05,-6.38316392e-06,-1.32673847e-06,-2.03414531e-05
6.02891724e-10,-9.13568389e-03,1.69589794e+00,1.80000000e+00,1.79811070e+00,4.71277826e-05,-5.14233323e-06,-9.36353059e-07,-1.96787265e-05
6.05594209e-10,-1.50224415e-02,1.59860846e+00,1.80000000e+00,1.79717710e+00,4.73748656e-05,-3.57076844e-06,-4.45485869e-07,-1.90207382e-05
6.10999180e-10,-2.34349334e-02,1.40402951e+00,1.80000000e+00,1.79640463e+00,4.83354483e-05,-2.65497601e-06,-1.26187700e-07,-1.86435145e-05
6.21809122e-10,-4.44553650e-02,1.01487161e+00,1.80000000e+00,1.79479613e+00,5.65990205e-05,-5.12320887e-06,-4.69004904e-07,-2.46748566e-05
6.32619064e-10,-5.79889343e-02,6.25713700e-01,1.80000000e+00,1.79535271e+00,6.01739585e-05,1.15385661e-07,6.74954508e-07,-4.78344827e-05
6.33938688e-10,-5.57210320e-02,5.78207220e-01,1.80000000e+00,1.79622544e+00,5.74003729e-05,3.43719351e-06,1.32269747e-06,-5.06908911e-05
6.36577937e-10,-4.66120006e-02,4.83194260e-01,1.80000000e+00,1.79879332e+00,5.51067546e-05,1.03682970e-05,2.56914469e-06,-5.93191098e-05
6.39217186e-10,-2.82061148e-02,3.88181299e-01,1.80000000e+00,1.80331989e+00,5.48380064e-05,1.75273453e-05,4.29124152e-06,-6.95265728e-05
6.41856435e-10,4.26315116e-04,2.93168339e-01,1.80000000e+00,1.80966060e+00,5.35086612e-05,2.58674704e-05,5.31862862e-06,-7.96651042e-05
6.44495684e-10,3.93417075e-02,1.98155378e-01,1.80000000e+00,1.81736020e+00,5.55468254e-05,3.31120255e-05,6.35074490e-06,-9.10531392e-05
6.47134933e-10,8.91584833e-02,1.03142418e-01,1.80000000e+00,1.82642203e+00,5.46977654e-05,4.23894186e-05,7.38321154e-06,-1.01834647e-04
6.49774182e-10,1.49847251e-01,8.12945746e-03,1.80000000e+00,1.83675948e+00,5.74684823e-05,4.95894277e-05,8.28405891e-06,-1.13507552e-04
6.50000000e-10,1.55545486e-01,-1.11022302e-15,1.80000000e+00,1.83770405e+00,5.57251889e-05,5.13454678e-05,8.44736102e-06,-1.14034645e-04
6.50225818e-10,1.62290842e-01,0.00000000e+00,1.80000000e+00,1.83890588e+00,5.21784585e-06,5.97414518e-05,1.06442482e-05,-8.71621617e-05
6.50451637e-10,1.69020829e-01,0.00000000e+00,1.80000000e+00,1.84008925e+00,4.91782416e-06,5.96053400e-05,1.04807283e-05,-8.67066920e-05
6.50903273e-10,1.82467063e-01,0.00000000e+00,1.80000000e+00,1.84242463e+00,4.88905187e-06,5.94836441e-05,1.02029616e-05,-8.61338605e-05
6.51806546e-10,2.09264574e-01,0.00000000e+00,1.80000000e+00,1.84691676e+00,4.88449463e-06,5.91848410e-05,9.68971653e-06,-8.51309093e-05
6.53613092e-10,2.62472528e-01,0.00000000e+00,1.80000000e+00,1.85529447e+00,4.82245265e-06,5.86266089e-05,8.85996011e-06,-8.32853913e-05
6.57226184e-10,3.67265561e-01,0.00000000e+00,1.80000000e+00,1.87035397e+00,4.74254695e-06,5.73881811e-05,7.81218247e-06,-8.04283463e-05
6.64452369e-10,5.69371624e-01,0.00000000e+00,1.80000000e+00,1.89765630e+00,4.49426180e-06,5.44861091e-05,7.30082015e-06,-7.68410143e-05
