sub_dir,.param cbn,.param cbp,D0,D1,D2,D3
run_610_800,610m,800m,5.785467e-11,2.218507e-10,5.785468e-11,2.218506e-10
run_600_620,600m,620m,5.843149e-11,2.490187e-10,5.843149e-11,2.490188e-10
run_500_760,500m,760m,6.781554e-11,2.440115e-10,6.781554e-11,2.440116e-10
run_540_500,540m,500m,6.118108e-11,2.848892e-10,6.118108e-11,2.848896e-10
run_490_1000,490m,1000m,7.088232e-11,2.243900e-10,7.088232e-11,2.243900e-10
run_520_680,520m,680m,6.454106e-11,2.485722e-10,6.454106e-11,2.485722e-10
run_480_960,480m,960m,7.220404e-11,2.288475e-10,7.220404e-11,2.288475e-10
run_500_500,500m,500m,6.586092e-11,2.985774e-10,6.586092e-11,2.985777e-10
run_510_980,510m,980m,6.788534e-11,2.202137e-10,6.788534e-11,2.202137e-10
run_650_720,650m,720m,5.322455e-11,2.222738e-10,5.322455e-11,2.222738e-10
run_430_800,430m,800m,8.013920e-11,2.610557e-10,8.013920e-11,2.610557e-10
run_440_440,440m,440m,7.503562e-11,3.474375e-10,7.503562e-11,3.474377e-10
run_600_480,600m,480m,5.749894e-11,2.847394e-10,5.749894e-11,2.847398e-10
run_610_620,610m,620m,5.601125e-11,2.493939e-10,5.674725e-11,2.472825e-10
run_510_840,510m,840m,6.699109e-11,2.324615e-10,6.699110e-11,2.324615e-10
run_600_920,600m,920m,6.029520e-11,2.133478e-10,6.029520e-11,2.133478e-10
run_530_580,530m,580m,6.199363e-11,2.680593e-10,6.280077e-11,2.651483e-10
run_580_940,580m,940m,6.091291e-11,2.124088e-10,6.091292e-11,2.124087e-10
run_620_600,620m,600m,5.571296e-11,2.511597e-10,5.644527e-11,2.481786e-10
run_480_460,480m,460m,6.841582e-11,3.231230e-10,6.841582e-11,3.231232e-10
run_620_480,620m,480m,5.492188e-11,2.843802e-10,5.566390e-11,2.800178e-10
run_590_660,590m,660m,5.888544e-11,2.415764e-10,5.888544e-11,2.415765e-10
run_420_920,420m,920m,8.324081e-11,2.516387e-10,8.324081e-11,2.516388e-10
run_630_980,630m,980m,5.848903e-11,2.034920e-10,5.848904e-11,2.034919e-10
run_650_440,650m,440m,5.173492e-11,2.921098e-10,5.173492e-11,2.921101e-10
run_510_500,510m,500m,6.452066e-11,2.947947e-10,6.452066e-11,2.947950e-10
run_620_940,620m,940m,5.846400e-11,2.078033e-10,5.846400e-11,2.078032e-10
run_620_460,620m,460m,5.550694e-11,2.897991e-10,5.550694e-11,2.897995e-10
run_650_1000,650m,1000m,5.472353e-11,1.955884e-10,5.472353e-11,1.955884e-10
run_440_600,440m,600m,7.646371e-11,2.915009e-10,7.646370e-11,2.915011e-10
run_650_820,650m,820m,5.382062e-11,2.116917e-10,5.382062e-11,2.116917e-10
run_640_660,640m,660m,5.650251e-11,2.367391e-10,5.650251e-11,2.367391e-10
run_620_800,620m,800m,5.766673e-11,2.213451e-10,5.766673e-11,2.213451e-10
run_580_740,580m,740m,5.968569e-11,2.318395e-10,5.968569e-11,2.318394e-10
run_540_800,540m,800m,6.327009e-11,2.315152e-10,6.327009e-11,2.315151e-10
run_570_720,570m,720m,6.177572e-11,2.383285e-10,6.177572e-11,2.383286e-10
run_560_980,560m,980m,6.586149e-11,2.171310e-10,6.586149e-11,2.171310e-10
run_520_840,520m,840m,6.566863e-11,2.240517e-10,6.489764e-11,2.275624e-10
run_480_800,480m,800m,7.024196e-11,2.426812e-10,7.114001e-11,2.407687e-10
run_470_560,470m,560m,7.082506e-11,2.921570e-10,7.082506e-11,2.921572e-10
run_520_760,520m,760m,6.512526e-11,2.392630e-10,6.512526e-11,2.392630e-10
run_600_580,600m,580m,5.744466e-11,2.603127e-10,5.819258e-11,2.573449e-10
run_590_800,590m,800m,5.981002e-11,2.254574e-10,5.981002e-11,2.254574e-10
run_600_500,600m,500m,5.764087e-11,2.757767e-10,5.764087e-11,2.757770e-10
run_590_780,590m,780m,5.968068e-11,2.274392e-10,5.968069e-11,2.274392e-10
run_550_900,550m,900m,6.807248e-11,2.290543e-10,6.807248e-11,2.290543e-10
run_590_520,590m,520m,,,,
run_630_460,630m,460m,5.536248e-11,2.891633e-10,5.536248e-11,2.891637e-10
run_540_980,540m,980m,6.436710e-11,2.142816e-10,6.436711e-11,2.142815e-10
run_480_740,480m,740m,7.063620e-11,2.513641e-10,7.063620e-11,2.513641e-10
run_550_640,550m,640m,6.620754e-11,2.591976e-10,6.620754e-11,2.591977e-10
run_500_840,500m,840m,6.837987e-11,2.348177e-10,6.837987e-11,2.348177e-10
run_660_520,660m,520m,5.192301e-11,2.599542e-10,5.192301e-11,2.599543e-10
run_500_520,500m,520m,6.602302e-11,2.909778e-10,6.602302e-11,2.909782e-10
run_550_460,550m,460m,6.488186e-11,3.155691e-10,6.488186e-11,3.155694e-10
run_470_460,470m,460m,6.997782e-11,3.267649e-10,6.997782e-11,3.267652e-10
run_520_720,520m,720m,6.483782e-11,2.436642e-10,6.483782e-11,2.436642e-10
run_430_660,430m,660m,7.892905e-11,2.791614e-10,7.892905e-11,2.791616e-10
run_660_440,660m,440m,5.147840e-11,2.916078e-10,5.147840e-11,2.916081e-10
run_590_960,590m,960m,6.073802e-11,2.096506e-10,6.073803e-11,2.096506e-10
run_490_480,490m,480m,6.710454e-11,3.106074e-10,6.710454e-11,3.106077e-10
run_560_640,560m,640m,6.359935e-11,2.542286e-10,6.359936e-11,2.542287e-10
run_620_520,620m,520m,5.592066e-11,2.670750e-10,5.592066e-11,2.670752e-10
run_560_720,560m,720m,6.418931e-11,2.428681e-10,6.418931e-11,2.428681e-10
run_530_860,530m,860m,6.471757e-11,2.271692e-10,6.471758e-11,2.271692e-10
run_570_880,570m,880m,6.282227e-11,2.218056e-10,6.282227e-11,2.218056e-10
run_490_960,490m,960m,7.065302e-11,2.263892e-10,7.065303e-11,2.263891e-10
run_610_820,610m,820m,5.798000e-11,2.198019e-10,5.798001e-11,2.198018e-10
run_510_640,510m,640m,6.471916e-11,2.581141e-10,6.558366e-11,2.508035e-10
run_520_440,520m,440m,6.276989e-11,3.200157e-10,6.276989e-11,3.200160e-10
run_660_940,660m,940m,5.413859e-11,1.992564e-10,5.413859e-11,1.992563e-10
run_610_720,610m,720m,5.735396e-11,2.301922e-10,5.735396e-11,2.301922e-10
run_590_820,590m,820m,5.993978e-11,2.234157e-10,5.993979e-11,2.234157e-10
run_590_700,590m,700m,5.916074e-11,2.315739e-10,5.844075e-11,2.360336e-10
run_450_460,450m,460m,7.337401e-11,3.344089e-10,7.337401e-11,3.344091e-10
run_660_760,660m,760m,5.314522e-11,2.172972e-10,5.314522e-11,2.172972e-10
run_440_700,440m,700m,7.728505e-11,2.635037e-10,7.637843e-11,2.670808e-10
run_640_740,640m,740m,5.701374e-11,2.266085e-10,5.701375e-11,2.266085e-10
run_430_860,430m,860m,8.061914e-11,2.541649e-10,8.061914e-11,2.541650e-10
run_540_860,540m,860m,6.366360e-11,2.253067e-10,6.366361e-11,2.253067e-10
run_470_940,470m,940m,7.371893e-11,2.339017e-10,7.371893e-11,2.339017e-10
run_520_880,520m,880m,6.594616e-11,2.270823e-10,6.594617e-11,2.270823e-10
run_440_620,440m,620m,7.662662e-11,2.858484e-10,7.662662e-11,2.858486e-10
run_440_740,440m,740m,7.762110e-11,2.638127e-10,7.762110e-11,2.638128e-10
run_510_860,510m,860m,6.714298e-11,2.247654e-10,6.636177e-11,2.280906e-10
